ID,Label,Community
3-D Man,3-D Man,0
A-Bomb,A-Bomb,1
A.I.M.,A.I.M.,1
Aaron Stack,Aaron Stack,1
Abomination,Abomination,1
Absorbing Man,Absorbing Man,1
Abyss,Abyss,3
Adam Warlock,Adam Warlock,1
Aero,Aero,2
Agatha Harkness,Agatha Harkness,1
Agent Brand,Agent Brand,3
Agent X,Agent X,2
Agent Zero,Agent Zero,3
Agents of Atlas,Agents of Atlas,2
Air-Walker,Air-Walker,1
Ajak,Ajak,0
Albion,Albion,3
Alex Power,Alex Power,0
Alex Wilder,Alex Wilder,5
Alexander Pierce,Alexander Pierce,1
Alicia Masters,Alicia Masters,1
Alpha Flight,Alpha Flight,1
Amadeus Cho,Amadeus Cho,1
Amanda Sefton,Amanda Sefton,3
American Eagle,American Eagle,2
Amiko,Amiko,3
Amora,Amora,1
Amphibian,Amphibian,1
Ancient One,Ancient One,1
Angel,Angel,3
Angela,Angela,5
Anita Blake,Anita Blake,6
Annihilus,Annihilus,1
Anole,Anole,3
Ant-Man,Ant-Man,1
Anthem,Anthem,1
Apocalypse,Apocalypse,3
Arachne,Arachne,2
Araña,Araña,2
Arcade,Arcade,3
Arcana,Arcana,1
Archangel,Archangel,3
Arclight,Arclight,3
Ares,Ares,1
Armadillo,Armadillo,0
Armor,Armor,3
Armory,Armory,0
Arnim Zola,Arnim Zola,1
Atlas,Atlas,1
Attuma,Attuma,1
Aurora,Aurora,3
Avalanche,Avalanche,3
Azazel,Azazel,3
Balder,Balder,1
Banshee,Banshee,3
Baron Mordo,Baron Mordo,2
Baron Strucker,Baron Strucker,1
Baron Zemo,Baron Zemo,1
Baroness S'Bak,Baroness S'Bak,1
Barracuda,Barracuda,2
Bastion,Bastion,3
Batroc the Leaper,Batroc the Leaper,1
Battering Ram,Battering Ram,3
Battlestar,Battlestar,1
Beak,Beak,3
Beast,Beast,3
Bedlam,Bedlam,3
Beef,Beef,3
Beetle,Beetle,1
Belasco,Belasco,1
Ben Grimm,Ben Grimm,1
Ben Parker,Ben Parker,2
Ben Reilly,Ben Reilly,2
Ben Urich,Ben Urich,2
Bengal,Bengal,0
Beta-Ray Bill,Beta-Ray Bill,1
Bethany Cabe,Bethany Cabe,1
Betty Brant,Betty Brant,2
Betty Ross,Betty Ross,1
Beyonder,Beyonder,2
Big Bertha,Big Bertha,2
Big Wheel,Big Wheel,2
Bishop,Bishop,3
Black Bolt,Black Bolt,1
Black Cat,Black Cat,2
Black Crow,Black Crow,2
Black Knight,Black Knight,1
Black Panther,Black Panther,1
Black Queen,Black Queen,1
Black Tarantula,Black Tarantula,2
Black Tom,Black Tom,3
Black Widow,Black Widow,1
Black Widow/Natasha Romanoff,Black Widow/Natasha Romanoff,1
Blackheart,Blackheart,1
Blacklash,Blacklash,2
Blackout,Blackout,2
Blade,Blade,2
Blastaar,Blastaar,1
Blazing Skull,Blazing Skull,1
Blindfold,Blindfold,3
Bling!,Bling!,3
Blink,Blink,3
Blizzard,Blizzard,1
Blob,Blob,3
Blockbuster,Blockbuster,3
Blok,Blok,3
Bloke,Bloke,3
Blonde Phantom,Blonde Phantom,1
Bloodaxe,Bloodaxe,1
Bloodscream,Bloodscream,3
Bloodstorm,Bloodstorm,1
Blue Marvel,Blue Marvel,2
Blue Shield,Blue Shield,2
Blur,Blur,1
"Bob, Agent of Hydra","Bob, Agent of Hydra",2
Boom Boom,Boom Boom,3
Boomer,Boomer,3
Boomerang,Boomerang,2
Box,Box,3
Bride of Nine Spiders,Bride of Nine Spiders,2
Brood,Brood,3
Brother Voodoo,Brother Voodoo,2
Brotherhood of Evil Mutants,Brotherhood of Evil Mutants,3
Brotherhood of Mutants,Brotherhood of Mutants,3
Bruce Banner,Bruce Banner,1
Brute,Brute,1
Bucky,Bucky,1
Bug,Bug,1
Bulldozer,Bulldozer,1
Bullseye,Bullseye,2
Bushwacker,Bushwacker,2
Butterfly,Butterfly,3
Cable,Cable,3
Calamity,Calamity,1
Caliban,Caliban,3
Callisto,Callisto,3
Calypso,Calypso,2
Cammi,Cammi,1
Cannonball,Cannonball,3
Captain America,Captain America,1
Captain Britain,Captain Britain,3
Captain Marvel,Captain Marvel,1
Captain Stacy,Captain Stacy,2
Captain Universe,Captain Universe,1
Cardiac,Cardiac,2
Caretaker,Caretaker,2
Cargill,Cargill,3
