id,name,description
1011334,3-D Man,
1017100,A-Bomb (HAS),"Rick Jones has been Hulk's best bud since day one, but now he's more than a friend...he's a teammate! Transformed by a Gamma energy explosion, A-Bomb's thick, armored skin is just as strong and powerful as it is blue. And when he curls into action, he uses it like a giant bowling ball of destruction! "
1009144,A.I.M.,AIM is a terrorist organization bent on destroying the world.
1010699,Aaron Stack,
1009146,Abomination (Emil Blonsky),"Formerly known as Emil Blonsky, a spy of Soviet Yugoslavian origin working for the KGB, the Abomination gained his powers after receiving a dose of gamma radiation similar to that which transformed Bruce Banner into the incredible Hulk."
1016823,Abomination (Ultimate),
1009148,Absorbing Man,
1009149,Abyss,
1010903,Abyss (Age of Apocalypse),
1011266,Adam Destine,
1010354,Adam Warlock,Adam Warlock is an artificially created human who was born in a cocoon at a scientific complex called The Beehive.
1010846,Aegis (Trey Rollins),
1017851,Aero (Aero),
1012717,Agatha Harkness,
1011297,Agent Brand,
1011031,Agent X (Nijo),"Originally a partner of the mind-altering assassin Black Swan, Nijo spied on Deadpool as part of the Swan's plan to exact revenge for Deadpool falsely taking credit for the Swan's assassination of the Four Winds crime family, which included Nijo's brother."
1009150,Agent Zero,
1011198,Agents of Atlas,
1011175,Aginar,
1011136,Air-Walker (Gabriel Lan),
1011176,Ajak,
1010870,Ajaxis,
1011194,Akemi,
1011170,Alain,
1009240,Albert Cleary,
1011120,Albion,
1010836,Alex Power,
1010755,Alex Wilder,"Despite being the only one of the Runaways without any superhuman abilities or tech, Alex Wilder became the de facto leader of the group due to his natural leadership skills and intellect, as well as prodigy-level logic and strategy."
1011214,Alexa Mendez,
1009497,Alexander Pierce,
1014990,Alice,
1009435,Alicia Masters,
1010370,Alpha Flight,
1011324,Alpha Flight (Ultimate),
1011164,Alvin Maker,
1011227,Amadeus Cho,
1009567,Amanda Sefton,
1011382,Amazoness,
1011361,American Eagle (Jason Strongbow),
1009151,Amiko,
1010672,Amora,
1010673,Amphibian (Earth-712),
1010905,Amun,"Amun is a ruthless teenage assassin, employed by the Sisterhood of the Wasp to serve under the mage Vincent after Araña interrupted the ritual to initiate the Wasp's new chosen one."
1009152,Ancient One,
1016824,Ancient One (Ultimate),
1011684,Angel (Angel Salvadore),"Driven out of home by her abusive step-father, fourteen-year old Angel Salvadore slept in the woods, where her mutant nature manifested itself in the form of a protective cocoon."
1011396,Angel (Thomas Halloway),
1011338,Angel (Ultimate),
1009153,Angel (Warren Worthington III),
1017574,Angela (Aldrif Odinsdottir),
1010674,Anita Blake,
1009346,Anne Marie Hoag,
1009154,Annihilus,
1011301,Anole,
1010802,Ant-Man (Eric O'Grady),
1009155,Ant-Man (Hank Pym),
1010801,Ant-Man (Scott Lang),
1011208,Anthem,
1009156,Apocalypse,
1011253,Apocalypse (Ultimate),
1010866,Aqueduct,
1010773,Arachne,
1017438,Araña,
1009158,Arcade,
1010686,Arcana,
1009159,Archangel,
1009160,Arclight,
1010784,Ares,
1011275,Argent,
1011012,Armadillo,
1011298,Armor (Hisako Ichiki),
1010827,Armory,
1009740,Arnim Zola,"The frail, dwarfish Arnim Zola was born in 1930s Switzerland where he became the world's leading biochemist and genetic engineer."
1010748,Arsenic,
1009161,Artiee,
1010718,Asgardian,
1009162,Askew-Tronics,
1010835,Asylum,
1010336,Atlas (Team),
1011758,Attuma,"Attuma was born into the tribe of Homo mermanus who eschewed civilization to live as nomadic barbarians. For some unrecorded reason, Attuma was endowed with strength far surpassing that of his people."
1009163,Aurora,
1009164,Avalanche,
1009165,Avengers,"Earth's Mightiest Heroes joined forces to take on threats that were too big for any one hero to tackle. With a roster that has included Captain America, Iron Man, Ant-Man, Hulk, Thor, Wasp and dozens more over the years, the Avengers have come to be regarded as Earth's No. 1 team."
1015239,Avengers (Ultimate),
1011766,Azazel (Mutant),"A mutant from biblical times, Azazel is the ruler of the Neyaphem and claims that the Earth and everything on it belongs to him."
1011456,Balder,
1009168,Banshee,
1009596,Banshee (Theresa Rourke),"The daughter of former X-Men member Sean Cassidy, a.k.a. Banshee, and Maeve Rourke, Theresa Rourke was raised by her first cousin once removed, mutant terrorist Thomas Cassidy, a.k.a. Black Tom."
1011778,Baron Mordo (Karl Mordo),"Born in 1921, Karl Mordo was the son of Nikolai Mordo.  He vowed that, as the second Baron Mordo, he would achieve his father’s hopes and more."
1009169,Baron Strucker,
1009170,Baron Zemo (Heinrich Zemo),
1010906,Baron Zemo (Helmut Zemo),
1011137,Baroness S'Bak,
1011354,Barracuda,
1009550,Bart Rozum,
1009171,Bastion,
1009172,Batroc the Leaper,
1009173,Battering Ram,
1011785,Battlestar,Lamar Hoskins was once a wrestler who was given superhuman strength by the Power Broker.
1009174,Beak,
1009175,Beast,
1010909,Beast (Earth-311),
1010908,Beast (Ultimate),
1009176,Becatron,
1009177,Bedlam,
1009178,Beef,
1009179,Beetle (Abner Jenkins),
1011793,Belasco,"Only the blackest of hearts would dare delve into the dark magic of the Elder Gods, but 13th Century sorcerer Belasco was of just such a heart."
1009329,Ben Grimm,
1009489,Ben Parker,
1011346,Ben Reilly,"Ben Reilly was the most genetically stable of the many clones of Spider-Man created by Professor Miles Warren, the Jackal."
1010782,Ben Urich,Ben Urich is a reporter for the Daily Bugle who has many ties to the city's superhero community.
1010829,Bengal,
1009180,Beta-Ray Bill,
1011907,Bethany Cabe,"Former CEO, bodyguard, and love interest of Stark Enterprises and Tony Stark."
1010325,Betty Brant,
1009548,Betty Ross,
1011138,Beyonder,
1011296,Bi-Beast,
1010843,Big Bertha,
1009181,Big Wheel,
1011262,Bill Hollister,
1009182,Bishop,
1011224,Bishop (Ultimate),
1009183,Black Bird,
1009184,Black Bolt,
1017330,Black Bolt (Marvel War of Heroes),
1009185,Black Cat,
1010910,Black Cat (Ultimate),
1010859,Black Crow,
1011809,Black Knight (Dane Whitman),"Nephew of the villainous Black Knight that went by the name of Nathan Garrett, Dane was summoned by his uncle when he was mortally wounded following a battle with Iron Man."
1009186,Black Knight (Sir Percy of Scandia),
1009187,Black Panther,
1017838,Black Panther (Shuri),
1011130,Black Panther (Ultimate),
1010356,Black Queen,
1010687,Black Tarantula,
1009188,Black Tom,
1009189,Black Widow,
1017296,Black Widow (LEGO Marvel Super Heroes),
1010911,Black Widow (Ultimate),
1011498,Black Widow (Yelena Belova),
1017109,Black Widow/Natasha Romanoff (MAA),"Natasha Romanoff, also known as Black Widow, is a world-renowned super spy and one of S.H.I.E.L.D.'s top agents. Her hand-to-hand combat skills, intelligence, and unpredictability make her a deadly secret weapon. True to her mysterious nature, Black Widow comes and goes as she pleases, but always appears exactly when her particular skills are needed."
1009190,Blackheart,
1010881,Blacklash,
1011349,Blackout,
1009191,Blade,
1009195,Blastaar,
1010830,Blazing Skull,
1011291,Blindfold,
1011836,Bling!,"The mutant Roxy Washington was born into hip-hop ""royalty"" as the daughter of two famous hip-hop stars and has the power to produce diamonds of varying quality and can expel diamond shards from her body at high velocity."
1009197,Blink,
1009198,Blizzard,
1009199,Blob,
1011132,Blob (Ultimate),
1009200,Blockbuster,
1009201,Blok,
1009202,Bloke,
1011416,Blonde Phantom,
1011073,Bloodaxe,
1009203,Bloodscream,
1009204,Bloodstorm,
1010850,Bloodstrike,
1011113,Blue Blade,
1011339,Blue Marvel,
1011264,Blue Shield,
1010688,Blur,
1011119,"Bob, Agent of Hydra","A cowardly young man, Bob was persuaded into joining the criminal organization HYDRA and has had numerous encounters with Deadpool and other Marvel heroes."
1010366,Boom Boom,"When Tabitha Smith's mutant nature manifested at age 13, she ran away from her abusive home and eventually hooked up with the New Mutants and, subsequently, X-Force."
1009205,Boomer,
1010371,Boomerang,
1009206,Box,
1011236,Bride of Nine Spiders (Immortal Weapons),
1014981,Bromley,
1009208,Brood,
1011090,Brother Voodoo,
1009209,Brotherhood of Evil Mutants,
1014973,Brotherhood of Mutants (Ultimate),
1009167,Bruce Banner,
1009210,Brute,
1009211,Bucky,
1011038,Bug,
1010887,Bulldozer,
