character,weighted_degree_centrality,betweenness_centrality,eigenvector_centrality,pagerank
Spider-Man,12381,0.020836749541225084,0.23060449046154946,0.02485280051350678
Wolverine,12651,0.019218614615805287,0.34243068217669415,0.02173424538192251
Iron Man,11574,0.013238710606083724,0.3104875359822902,0.021563888561895377
Captain America,11800,0.02281847763055118,0.29257456997872494,0.021280946567327486
Cyclops,8640,0.01326350413706715,0.24152950621924255,0.01402910383500243
Thor,7609,0.014838625175453623,0.19525283805743585,0.013794910387360753
Beast,7495,0.011881954229755088,0.20218231104537762,0.012243831339051745
Colossus,7336,0.009519654423186957,0.20759343104659608,0.011835571241527561
Storm,6881,0.012304693913867295,0.20390203419422823,0.011145215813939692
Human Torch,6462,0.012799625014693975,0.15566639905196003,0.011043177544886571
Hulk,5621,0.018696857842493003,0.1441026910420383,0.010778358447977079
Iceman,5290,0.010385885644256864,0.1459439122589744,0.008523125508396977
Nightcrawler,5148,0.008558109601737406,0.15015548440096235,0.008378884207062981
Thing,4814,0.008722985543267128,0.12198769167637566,0.008334274377158571
Rogue,5150,0.008379524275493273,0.14793699747724945,0.008270466382788964
Captain Marvel,4512,0.009156789944858058,0.10092858913515207,0.008250977011705221
Invisible Woman,4688,0.007653746408582604,0.11672027113681294,0.007999907494952656
Hawkeye,4445,0.0078639121186443,0.12290769878871483,0.007920483250566187
Mr. Fantastic,4618,0.008989925593049479,0.11513557021547723,0.007917046839274725
Archangel,4703,0.00579952297911416,0.12080438876464501,0.007640265672213911
Scarlet Witch,4183,0.007761148756233966,0.11576781888546041,0.007243432646051728
Doctor Strange,3584,0.015460515398514391,0.0722091861452058,0.0070479370068085015
Daredevil,3384,0.00909260397799528,0.06309680228446198,0.0066794932348845405
Magneto,4047,0.015686917963270666,0.11219157165086212,0.006655118771098151
Vision,3623,0.005493563806779012,0.09740556535500125,0.006397359826708414
Gambit,3897,0.007759198372612521,0.10641720227312548,0.006385887831709402
Black Widow,3335,0.00922208187458443,0.07965766937368816,0.0061424994436567555
Psylocke,3566,0.006289477593070245,0.09239417021579902,0.005892024531089832
