Node,Edge,Weight
3-D Man,Ant-Man,6
3-D Man,Bengal,1
3-D Man,Beta-Ray Bill,1
3-D Man,Cloud 9,2
3-D Man,Constrictor,2
3-D Man,Deadpool,1
3-D Man,Dum Dum Dugan,3
3-D Man,Edwin Jarvis,1
3-D Man,Gauntlet,1
3-D Man,Gravity,2
3-D Man,Hank Pym,9
3-D Man,Hardball,2
3-D Man,Iron Man,1
3-D Man,Iron Patriot,2
3-D Man,Jocasta,3
3-D Man,Komodo,5
3-D Man,Nick Fury,2
3-D Man,She-Hulk,1
3-D Man,Skrulls,6
3-D Man,Slapstick,1
3-D Man,Spider-Woman,1
3-D Man,Super-Skrull,2
3-D Man,Thing,1
3-D Man,Thor Girl,1
3-D Man,Tigra,2
3-D Man,Titania,1
3-D Man,Trauma,4
3-D Man,War Machine,2
3-D Man,Yellowjacket,6
A-Bomb,Alpha Flight,3
A-Bomb,Aurora,2
A-Bomb,Captain America,1
A-Bomb,Guardian,2
A-Bomb,Hulk,1
A-Bomb,Living Lightning,1
A-Bomb,Machine Man,3
A-Bomb,Puck,2
A-Bomb,Red Hulk,4
A-Bomb,Sasquatch,2
A-Bomb,She-Hulk,7
A-Bomb,Silverclaw,1
A-Bomb,Skaar,1
A-Bomb,Snowbird,2
A-Bomb,Thaddeus Ross,1
A.I.M.,Ancient One,3
A.I.M.,Ant-Man,1
A.I.M.,Archangel,1
A.I.M.,Baron Mordo,2
A.I.M.,Baron Strucker,3
A.I.M.,Baron Zemo,2
A.I.M.,Beast,1
A.I.M.,Bethany Cabe,1
A.I.M.,Black Knight,4
A.I.M.,Black Panther,6
A.I.M.,Black Widow,4
A.I.M.,Bucky,1
A.I.M.,Bulldozer,1
A.I.M.,Cannonball,1
A.I.M.,Captain America,20
A.I.M.,Captain Marvel,3
A.I.M.,Clea,2
A.I.M.,Count Nefaria,4
A.I.M.,Crimson Dynamo,5
A.I.M.,Cyclops,1
A.I.M.,Defenders,1
A.I.M.,Doctor Doom,2
A.I.M.,Doctor Strange,5
A.I.M.,Dum Dum Dugan,3
A.I.M.,Edwin Jarvis,1
A.I.M.,Falcon,2
A.I.M.,Grey Gargoyle,1
A.I.M.,Hank Pym,1
A.I.M.,Happy Hogan,1
A.I.M.,Hawkeye,5
A.I.M.,Hellcat,1
A.I.M.,Hulk,4
A.I.M.,Hydra,5
A.I.M.,Iron Man,29
A.I.M.,Joseph,1
A.I.M.,Kang,4
A.I.M.,Klaw,1
A.I.M.,Korvac,1
A.I.M.,Kraven the Hunter,1
A.I.M.,M.O.D.A.M.,2
A.I.M.,M.O.D.O.K.,4
A.I.M.,Madame Hydra,1
A.I.M.,Maggott,1
A.I.M.,Mandarin,4
A.I.M.,Maria Hill,1
A.I.M.,Marrow,1
A.I.M.,Mockingbird,3
A.I.M.,Namor,1
A.I.M.,Nick Fury,12
A.I.M.,Nightcrawler,2
A.I.M.,Nighthawk,1
A.I.M.,Norman Osborn,1
A.I.M.,Omega Red,3
A.I.M.,Onslaught,1
A.I.M.,Pepper Potts,2
A.I.M.,Power Pack,5
A.I.M.,Quicksilver,6
A.I.M.,Red Skull,6
A.I.M.,Redwing,2
A.I.M.,S.H.I.E.L.D.,6
A.I.M.,Scarecrow,2
