Title,weighted_degree_centrality_max,betweenness_centrality_max,eigenvector_centrality_max,pagerank_max,BoxOffice
Avengers: Endgame,12381.0,0.0228184776305511,0.3104875359822902,0.0248528005135067,858373000.0
Spider-Man: No Way Home,12381.0,0.020836749541225,0.2306044904615494,0.0248528005135067,814866759.0
Black Panther,3077.0,0.0151421600986682,0.0790023964439952,0.0058087389508339,700426566.0
Avengers: Infinity War,12381.0,0.0228184776305511,0.3104875359822902,0.0248528005135067,678815482.0
The Avengers,11800.0,0.0228184776305511,0.3104875359822902,0.0215638885618953,623357910.0
Avengers: Age of Ultron,11800.0,0.0228184776305511,0.3104875359822902,0.0215638885618953,459005868.0
Black Panther: Wakanda Forever,3077.0,0.0151421600986682,0.0790023964439952,0.0058087389508339,453829060.0
Captain Marvel,4512.0,0.0142478377867766,0.100928589135152,0.0082509770117052,426829839.0
Doctor Strange in the Multiverse of Madness,4183.0,0.0154605153985143,0.1157678188854604,0.0072434326460517,411331607.0
Iron Man 3,11574.0,0.0132387106060837,0.3104875359822902,0.0215638885618953,409013994.0
Captain America: Civil War,12381.0,0.0228184776305511,0.3104875359822902,0.0248528005135067,408084349.0
Spider-Man,12381.0,0.020836749541225,0.2306044904615494,0.0248528005135067,407774549.0
Spider-Man: Far from Home,12381.0,0.020836749541225,0.2306044904615494,0.0248528005135067,391283774.0
Guardians of the Galaxy Vol. 2,429.0,0.0032589583864668,0.0035123255865341,0.0010779294005407,389813101.0
Spider-Man 2,12381.0,0.020836749541225,0.2306044904615494,0.0248528005135067,374337514.0
Deadpool,7336.0,0.0095196544231869,0.207593431046596,0.0118355712415275,363070709.0
Guardians of the Galaxy Vol. 3,429.0,0.0032589583864668,0.0035123255865341,0.0010779294005407,358995815.0
Thor: Love and Thunder,7609.0,0.0148386251754536,0.1952528380574358,0.0137949103873607,343256830.0
Spider-Man 3,12381.0,0.020836749541225,0.2306044904615494,0.0248528005135067,337281992.0
Spider-Man: Homecoming,12381.0,0.020836749541225,0.3104875359822902,0.0248528005135067,334952829.0
Guardians of the Galaxy,429.0,0.002179642673149,0.0035123255865341,0.0010779294005407,333718600.0
