Title,Year,BoxOffice,Director,Actors,IMDB_Rating
Iron Man,2008,"$319,034,126",Jon Favreau,"Iron Man,Pepper Potts,War Machine",7.9
The Incredible Hulk,2008,"$134,806,913",Louis Leterrier,"Hulk,Betty Ross",6.6
Iron Man 2,2010,"$312,433,331",Jon Favreau,"Iron Man,Pepper Potts,Black Widow",6.9
Thor,2011,"$181,030,624",Kenneth Branagh,"Thor,Jane Foster",7.0
Captain America: The First Avenger,2011,"$176,654,505",Joe Johnston,"Captain America,Nick Fury,Peggy Carter",6.9
The Avengers,2012,"$623,357,910",Joss Whedon,"Iron Man,Captain America,Thor,Hulk,Black Widow,Hawkeye,Nick Fury,Loki",8.0
Iron Man 3,2013,"$409,013,994",Shane Black,"Iron Man,Pepper Potts",7.1
Thor: The Dark World,2013,"$206,362,140",Alan Taylor,"Thor,Loki,Jane Foster",6.7
Captain America: The Winter Soldier,2014,"$259,766,572","Anthony Russo,Joe Russo","Captain America,Nick Fury,Black Widow",7.7
Guardians of the Galaxy,2014,"$333,718,600",James Gunn,"Star-Lord,Groot,Rocket Raccoon",8.0
Avengers: Age of Ultron,2015,"$459,005,868",Joss Whedon,"Iron Man,Captain America,Thor,Hulk,Black Widow,Hawkeye,Scarlet Witch,Vision,Quicksilver,Ultron",7.3
Ant-Man,2015,"$180,202,163",Peyton Reed,"Ant-Man",7.2
Captain America: Civil War,2016,"$408,084,349","Anthony Russo,Joe Russo","Captain America,Iron Man,Black Widow,Spider-Man,Winter Soldier",7.8
Doctor Strange,2016,"$232,641,920",Scott Derrickson,"Doctor Strange",7.5
Guardians of the Galaxy Vol. 2,2017,"$389,813,101",James Gunn,"Star-Lord,Gamora,Drax,Rocket Raccoon",7.6
Spider-Man: Homecoming,2017,"$334,952,829",Jon Watts,"Spider-Man,Iron Man",7.4
Thor: Ragnarok,2017,"$315,058,289",Taika Waititi,"Thor,Loki,Valkyrie",7.9
Black Panther,2018,"$700,426,566",Ryan Coogler,"Black Panther,Shuri,Okoye",7.3
Avengers: Infinity War,2018,"$678,815,482","Anthony Russo,Joe Russo","Iron Man,Captain America,Thor,Hulk,Black Widow,Doctor Strange,Spider-Man,Scarlet Witch,Vision,Star-Lord,Gamora,Rocket Raccoon,Groot,Drax,Loki,Thanos",8.4
Ant-Man and the Wasp,2018,"$216,648,740",Peyton Reed,"Ant-Man,Wasp",7.0
Captain Marvel,2019,"$426,829,839","Anna Boden,Ryan Fleck","Captain Marvel,Nick Fury",6.8
Avengers: Endgame,2019,"$858,373,000","Anthony Russo,Joe Russo","Iron Man,Captain America,Thor,Hulk,Black Widow,Hawkeye,Doctor Strange,Spider-Man,Scarlet Witch,Ant-Man,Rocket Raccoon,Nebula,Captain Marvel,Thanos",8.4
Spider-Man: Far from Home,2019,"$391,283,774",Jon Watts,"Spider-Man,Nick Fury",7.4
Black Widow,2021,"$183,651,655",Cate Shortland,"Black Widow,Yelena Belova",6.6
Shang-Chi and the Legend of the Ten Rings,2021,"$224,543,292",Destin Daniel Cretton,"Shang-Chi,Katy,Wenwu",7.4
Eternals,2021,"$164,870,234",Chloé Zhao,"Sersi,Ikaris,Thena,Druig",6.3
Spider-Man: No Way Home,2021,"$814,866,759",Jon Watts,"Spider-Man,Doctor Strange,Green Goblin",8.2
Doctor Strange in the Multiverse of Madness,2022,"$411,331,607",Sam Raimi,"Doctor Strange,Scarlet Witch,America Chavez",6.9
Thor: Love and Thunder,2022,"$343,256,830",Taika Waititi,"Thor,Mighty Thor,Valkyrie",6.2
Black Panther: Wakanda Forever,2022,"$453,829,060",Ryan Coogler,"Black Panther,Okoye,Nakia,Shuri",6.7
Ant-Man and the Wasp: Quantumania,2023,"$214,504,909",Peyton Reed,"Ant-Man,Wasp,Kang the Conqueror",6.0
Guardians of the Galaxy Vol. 3,2023,"$358,995,815",James Gunn,"Star-Lord,Rocket Raccoon,Gamora,Drax",7.9
The Marvels,2023,"$84,500,223",Nia DaCosta,"Captain Marvel,Photon,Ms. Marvel",5.5
X-Men,2000,"$157,299,718",Bryan Singer,"Professor X,Wolverine,Magneto",7.3
X2: X-Men United,2003,"$214,949,694",Bryan Singer,"Professor X,Wolverine,Storm",7.4
X-Men: The Last Stand,2006,"$234,362,462",Brett Ratner,"Professor X,Wolverine,Storm",6.6
X-Men Origins: Wolverine,2009,"$179,883,157",Gavin Hood,"Wolverine,Sabretooth,Deadpool",6.5
X-Men: First Class,2011,"$146,408,305",Matthew Vaughn,"Professor X,Magneto,Mystique",7.7
The Wolverine,2013,"$132,556,852",James Mangold,"Wolverine",6.7
X-Men: Days of Future Past,2014,"$233,921,534",Bryan Singer,"Professor X,Magneto,Wolverine,Mystique,Beast",7.9
X-Men: Apocalypse,2016,"$155,442,489",Bryan Singer,"Professor X,Magneto,Mystique,Cyclops,Jean Grey,Storm",6.8
Logan,2017,"$226,277,068",James Mangold,"Wolverine,Professor X,X-23",8.1
X-Men: Dark Phoenix,2019,"$65,845,974",Simon Kinberg,"Professor X,Magneto,Mystique,Cyclops,Jean Grey",5.7
The New Mutants,2020,"$23,852,659",Josh Boone,"Wolfsbane,Magik,Cannonball,Mirage,Sunspot",5.3
Deadpool,2016,"$363,070,709",Tim Miller,"Deadpool,Vanessa,Colossus",8.0
Deadpool 2,2018,"$324,591,735",David Leitch,"Deadpool,Cable,Domino,Colossus",7.6
Spider-Man,2002,"$407,774,549",Sam Raimi,"Spider-Man,Green Goblin",7.4
Spider-Man 2,2004,"$374,337,514",Sam Raimi,"Spider-Man,Doctor Octopus,Mary Jane Watson",7.5
Spider-Man 3,2007,"$337,281,992",Sam Raimi,"Spider-Man,Venom,Sandman",6.3
The Amazing Spider-Man,2012,"$262,782,352",Marc Webb,"Spider-Man,Lizard,Gwen Stacy",6.9
The Amazing Spider-Man 2,2014,"$203,605,622",Marc Webb,"Spider-Man,Electro,Green Goblin,Gwen Stacy",6.6
Fantastic Four,2005,"$154,696,080",Tim Story,"Mr. Fantastic,The Thing,Human Torch,Invisible Woman",5.7
Fantastic Four: Rise of the Silver Surfer,2007,"$131,921,738",Tim Story,"Mr. Fantastic,Invisible Woman,Human Torch,Silver Surfer",5.6
Fantastic Four (2015),2015,N/A,N/A,"Mr. Fantastic,Invisible Woman,Human Torch,The Thing,Doctor Doom",N/A
Venom,2018,"$213,515,506",Ruben Fleischer,"Venom,Eddie Brock",6.6
Venom: Let There Be Carnage,2021,"$213,550,366",Andy Serkis,"Venom,Carnage,Eddie Brock",5.9
Ghost Rider,2007,"$115,802,596",Mark Steven Johnson,"Ghost Rider,Mephistopheles",5.3
Ghost Rider: Spirit of Vengeance,2011,"$51,774,002","Mark Neveldine,Brian Taylor","Ghost Rider,Blackout",4.3
Daredevil,2015–2018,N/A,N/A,"Daredevil,Kingpin,Elektra",8.6
Elektra,2005,"$24,409,722",Rob Bowman,"Elektra,Stick",4.7
